metric	n_real	n_decoy	real_median	decoy_median	auroc	mannwhitney_p
peptide_rmsd_mean_A	17	20	3.767	3.8905000000000003	0.5029411764705882	0.9878422663352727
pae_interface_min	17	20	3.734	3.7455	0.4838235294117647	0.8788797191901944
pae_interface_mean	17	20	11.945	11.722000000000001	0.47941176470588237	0.8429710190477183
i_plddt_peptide	17	20	0.55	0.5585	0.4764705882352941	0.8191709707675408
aggregate_score	17	20	0.43786	0.45277	0.4176470588235294	0.401978640140658
iptm	17	20	0.33218	0.35180999999999996	0.4147058823529412	0.38508302455924126
