metric	n	spearman_rho	p	jackknife_min_rho	jackknife_max_rho
aggregate_score	7	0.8214285714285715	0.0234488083456915	0.7142857142857143	0.8857142857142858
iptm	7	0.8214285714285715	0.0234488083456915	0.7142857142857143	0.8857142857142858
pae_interface_min	7	0.7857142857142859	0.03623846267982715	0.6571428571428573	0.8285714285714287
pae_interface_mean	7	0.6071428571428572	0.14823116148116164	0.3714285714285715	0.7142857142857143
i_plddt_peptide	7	-0.10714285714285716	0.8191508555699912	-0.5428571428571429	0.14285714285714288
peptide_rmsd_mean_A	7	-0.25	0.5887244480896832	-0.6571428571428573	0.2
