metric	n_real	n_decoy	real_median	decoy_median	auroc	mannwhitney_p
peptide_rmsd_mean_A	17	20	3.839	3.6635	0.5117647058823529	0.9150536836962232
i_plddt_peptide	17	20	0.544	0.563	0.4	0.30702029243581863
aggregate_score	17	20	0.41873	0.43957999999999997	0.39705882352941174	0.2930632585756785
pae_interface_mean	17	20	12.439	12.16	0.3911764705882353	0.2659758362150152
iptm	17	20	0.30898	0.335575	0.3764705882352941	0.20595806245356263
pae_interface_min	17	20	4.018	3.7405	0.36176470588235293	0.15644241702889536
