metric	n	spearman_rho	p	jackknife_min_rho	jackknife_max_rho
aggregate_score	7	0.8571428571428573	0.013697326615325618	0.7714285714285715	0.942857142857143
iptm	7	0.8571428571428573	0.013697326615325618	0.7714285714285715	0.942857142857143
pae_interface_min	7	0.8571428571428573	0.013697326615325618	0.7714285714285715	0.942857142857143
pae_interface_mean	7	0.6785714285714287	0.09375025395983135	0.48571428571428577	0.8285714285714287
i_plddt_peptide	7	0.642857142857143	0.11939237342741109	0.4285714285714286	0.8285714285714287
peptide_rmsd_mean_A	7	0.5357142857142858	0.21521745567801298	0.2571428571428572	0.8285714285714287
